0-th traing, T = 100, ErrorRate = 33% (33/100)
1-th traing, T = 99.0, ErrorRate = 30% (30/100)
2-th traing, T = 98.01, ErrorRate = 35% (35/100)
3-th traing, T = 97.0299, ErrorRate = 32% (32/100)
4-th traing, T = 96.059601, ErrorRate = 29% (29/100)
5-th traing, T = 95.09900499, ErrorRate = 35% (35/100)
6-th traing, T = 94.1480149401, ErrorRate = 30% (30/100)
7-th traing, T = 93.2065347907, ErrorRate = 20% (20/100)
8-th traing, T = 92.2744694428, ErrorRate = 27% (27/100)
9-th traing, T = 91.3517247484, ErrorRate = 33% (33/100)
10-th traing, T = 90.4382075009, ErrorRate = 27% (27/100)
11-th traing, T = 89.5338254259, ErrorRate = 35% (35/100)
12-th traing, T = 88.6384871716, ErrorRate = 36% (36/100)
13-th traing, T = 87.7521022999, ErrorRate = 33% (33/100)
14-th traing, T = 86.8745812769, ErrorRate = 36% (36/100)
15-th traing, T = 86.0058354641, ErrorRate = 33% (33/100)
16-th traing, T = 85.1457771095, ErrorRate = 27% (27/100)
17-th traing, T = 84.2943193384, ErrorRate = 18% (18/100)
18-th traing, T = 83.451376145, ErrorRate = 14% (14/100)
19-th traing, T = 82.6168623836, ErrorRate = 12% (12/100)
20-th traing, T = 81.7906937597, ErrorRate = 12% (12/100)
21-th traing, T = 80.9727868221, ErrorRate = 11% (11/100)
22-th traing, T = 80.1630589539, ErrorRate = 13% (13/100)
23-th traing, T = 79.3614283644, ErrorRate = 19% (19/100)
24-th traing, T = 78.5678140807, ErrorRate = 24% (24/100)
25-th traing, T = 77.7821359399, ErrorRate = 24% (24/100)
26-th traing, T = 77.0043145805, ErrorRate = 26% (26/100)
27-th traing, T = 76.2342714347, ErrorRate = 24% (24/100)
28-th traing, T = 75.4719287204, ErrorRate = 19% (19/100)
29-th traing, T = 74.7172094332, ErrorRate = 24% (24/100)
30-th traing, T = 73.9700373388, ErrorRate = 27% (27/100)
31-th traing, T = 73.2303369654, ErrorRate = 36% (36/100)
32-th traing, T = 72.4980335958, ErrorRate = 35% (35/100)
